Маркетплейс	Номенклатура	Продавец	Производитель	Цвет	Применяемость	Аналог RubEX	"Длина, м"	"Диаметр, мм"	"Цена, руб."	"Цена за пог.м., руб."	Ссылка на товар
ОЗОН	"Шланг напорно-всасывающий 102 мм (4""), 10 атм (СЕВЕР МОРОЗОСТОЙКИЙ до -55С), ассенизаторский, гофрированный, ( ПВХ / Каучук ), защита от УФ, зеленый, 30м"	ВсеПрофилиРу (ИП Жаботинский Евгений Яковлевич)	НОВЭМ	зеленый	ассенизаторский	CLEAN NORD	30	100	65122	2171	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-102-mm-4-10-atm-sever-morozostoykiy-do-55s-assenizatorskiy-924791423/?asb=N4OCltFZNkw%252BpIs7yeAgVt%252BbYCx7PTFEruTJNgyEa7c%253D&asb2=8RN_ahgIEGECRbyUG7Hw2Qa70m8MYHzm7iZRfLXB8D4cN3o9HsP4tRn-BsEUQM22&avtc=1&avte=2&avts=1684491547&from_sku=924354726&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fhosediameter%253D267415&oos_search=false&sh=wqyUGnTCXg
ОЗОН	"Шланг для дренажного насоса 100 мм (4""), 7 атм, напорно-всасывающий, гофрированный, морозостойкий ПВХ от -40С до 60С, защита от УФ, красный, 30м"	ВсеПрофилиРу (ИП Жаботинский Евгений Яковлевич)	НОВЭМ	красный	дренажный	IRRIGATION	30	100	23014	767	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-100mm-4-7-atm-gofrirovannyy-morozostoykiy-pvh-ot-40s-do-60s-zashchita-881409859/?asb=fWOP%252Fcz2GmQLq8bKBJYsah%252FJ42G67qq%252BPZHSsvARcuI%253D&asb2=gUddTm1iNBBbjIR9fRbtreADcKMCZSJd56C1gXJ4yMYh8qfSMVdrmoAOEyn2TiBg&avtc=1&avte=2&avts=1684491547&from_sku=881409732&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fhosediameter%253D267415&oos_search=false&sh=wqyUGgewfg
ЯндексМаркет	Шланг для дренажного насоса морозостойкий/зимний/ армированный из ПВХ d 50 мм ( длина 10 метров ) Tuboflex напорно-всасывающий ДомовоД ШНВМ50-10	Домовод (ИП «Демин Дмитрий Валентинович »)	Tuboflex	синий	дренажный	IRRIGATION	10	50	5239	524	https://market.yandex.ru/product--shlang-naporno-vsasyvaiushchii-morozostoikii-shnvm50/1778976273?glfilter=23674610%3A10~10_101861483277&cpa=1&cpc=FMN1DR1Bua36yeqICDt-1Jz_Uc2apVu3vjC3qehcI4Vu_tZxnMlDNWxqRrGpDOnjL4aBLBuIbRDPptXfX5DXWRCjFTsUhpy8YYy2B1DgI-B2Wfm4RiGrZ5Ej0LDF4Sfv-CgMc-3b-6u7WQfILPl3GPtyMnKUamKRvYhQALKdJ3HeUEV45EWUcrfghLRYXvdoP-_0nGNGQMRlzk3tpv4hxLci5FdF9LvoKSw8ZAn_Ez4ZfU87T9bVXOjYdt5E_i5TMYyK_EYtSZQ1AwzjvfSw7A%2C%2C&sku=101861483277&do-waremd5=IgrFf6m7gVJYi_HXT7LY7A&nid=18033952
ЯндексМаркет	Шланг для дренажного насоса морозостойкий напорно-всасывающий из ПВХ d50 мм (5 метров ) ДомовоД ШНВС50-30	Домовод (ИП «Демин Дмитрий Валентинович »)	Завод ПолимерШланг	белый	дренажный	IRRIGATION	30	50	11896	397	https://market.yandex.ru/product--shlang-dlia-drenazhnogo-nasosa-morozostoikii-armirovannyi-prozrachnyi-iz-pvkh-d-50-mm/1793946460?glfilter=23674610%3A30~30_101884357842&cpa=1&cpc=FMN1DR1Bua0tCa7_OPdtAzvm9K_EgwkCpYGlj6t6lsvPxezWTVQA7BnlcMoMHa_kz-p-lUfGqmRp8JxQDBnYAUtEisDe1awv-ph68dFeX-SzBCd7-qNOtfeeuHgsqBcNstADd3VmSvHqbdJLtvXJ4Yk5xWXpPkcWSDALSxcsbn0KhoYzTb3_dEb-9JRR7YYvYetatsx3FB1ZJBas70i1l1mHcUBuI5hXJuHSXnVq0X6y9-4e0fJPlu2quOr622vmGhub5leR8pS9-aoqzdLCUg%2C%2C&sku=101884357842&do-waremd5=J7DnsNK5qcRqzcDtkYGo1Q&sponsored=1&nid=18033952
ЯндексМаркет	"Шланг WWQ HB-50/10B, 2"" (50 мм), 10 м"	Холодильник.ру (ООО «ЭДИЛ-ИМПОРТ»)	WWQ	белый	пищевой	TRANS FOOD	10	50	4799	480	https://market.yandex.ru/product--shlang-wwq-hb-50-10b-2-50-mm-10-m/418965390?cpc=FMN1DR1Bua0voWlxgVCC3qJaK8qXkPRyTbVtkxCtD-UPyPQxmELd5o239xPYEshMh2LnAw8eKYIy5Exclgt4_tC3f-YVB0q2Rznn-5yTjPTtIgezICSNl3vyj8nSKm1OTJoELgSOCIdmNqn4XjOPDl19R406hu7J6BMCWUJjoOmO7qYHkx3BJyn5jn4cT5qn71xqHlb8Tj4%2C&sku=100610466333&do-waremd5=5W7SPqT8363DZXWlD-YfeA&cpa=1&nid=18033952
ЯндексМаркет	"Шланг WWQ HB-50/30B, 2"" (50 мм), 30 м"	ОНЛАЙНТРЕЙД.РУ (ООО «ОнЛайн Трейд»)	WWQ	белый	пищевой	TRANS FOOD	30	50	13400	447	https://market.yandex.ru/product--shlang-wwq-hb-50-30b-2-50-mm-30-m/418964349?cpc=FMN1DR1Bua0HbOsfV-8IJ9pPJwfsWzCeB6OSqmciN2rKPhb5wnM26HFbtTxhT12Y-WbdgASnheeUIX97klGKyUFIIFbPgOEzQSqxEzOZBNMU8WUDSMWrdsRRRiFDXFRacTTtHQYUiI3LjUJ0mxjTi_gFi_4Guf9plMpFXLrFTHfd8pZ4nSlIePxS06ItwtGNqmoLD6jus16v8odh0yjkDrxlqQdb9sXgtM9Z6xjxyIhm2xCnYg3LB0mlxHfdrn6exDdA3OSAF_z3yikJMiva7w%2C%2C&sku=100610466334&do-waremd5=XHZBCuwFD_n9Pl1RyTvUCQ&sponsored=1&cpa=1&nid=18033952
ЯндексМаркет	Шланг для дренажного насоса / Шланг армированный / Шланг напорно-всасывающий d25мм (30м) Tuboflex	Вода и Тепло 67 (ИП «Гордеенков Александр Леонидович»)	Tuboflex	желтый	дренажный	IRRIGATION	30	50	7264	242	https://market.yandex.ru/product--shlang-naporno-vsasyvaiushchii-lait-vnutrennii-diametr-30m-zheltyi-tuboflex/1449300407?glfilter=27142895%3A40475619_101462505685&cpa=1&cpc=FMN1DR1Bua21B3VMIFFR8yNhUDWEMp3DnojXMfpRTHxv20p9bFhCHhvx_x29wyKvJfVLa21F_9jv6mBQOnfZqP7axb_Dsp_jkxRyOxqC2ZVtd8DN1i2B3zWNfSCBsukXlnjpaGGeQr22uql15AsrRZ5bvghFFMMt6cfsuPtZR4vLEkYDWxaz3RELoCUzxnZDdDriJfOd48O4Y27jERK8n5lP3tEB8XZp1NjG3NIqLC02-FvAmj7Wbg26KLfZK4G6h5XZ4H7vSRLXMp1gNCnCyQ%2C%2C&sku=101462505685&do-waremd5=k1VNW6WmKiBEasVdzGoYuA&sponsored=1&nid=18033952
ЯндексМаркет	"Oase Спиральный шланг, зеленый, 2in(50мм)"	АкваДизайн (ИП «Ферцер Дмитрий Дмитриевич»)	OASE	зеленый	дренажный	IRRIGATION	1	50	969	969	https://market.yandex.ru/product--oase-spiralnyi-shlang-zelenyi-2in-50mm/1700635947?cpc=FMN1DR1Bua1_k4vD-zdlLpszrfioZsrGk9sNbrkq5-i3NHOQoZizvfe0P_d8BAkYQSn5Y1J8bPbaSvaO2AlGvlS27TpXnZsR0YoW9At3IW67ZyM_5-cWF8e2bK5hYgzojOV3bF4f4UQWYJH_pAivh9GR3124ixF3--IGOfzAdESUK74C5T7EFMSGJZwI8OUUaHnvkX94o79XG4vSb13-ATrexZLq6Vbc04gRtOa2lHwX3pSRg5LX7YDevWZ7oX4m0ZtgH_IbkINdRvolDgbG5w%2C%2C&sku=101630402051&do-waremd5=Jmx3fAwu4fW979w-xYIZdg&sponsored=1&cpa=1&nid=18033952
ЯндексМаркет	Шланг для дренажного насоса армированный ПВХ d 50 мм ( 5 метр ) напорно-всасывающий	СупермаркетУплотнений (ООО «ЦГС»)	МПТ-Пластик	белый	дренажный	IRRIGATION	5	50	1919	384	https://market.yandex.ru/product--shlang-dlia-drenazhnogo-nasosa-armirovannyi-pvkh-d-50-mm-5-metr-naporno-vsasyvaiushchii/1858680411?cpc=FMN1DR1Bua1_3ptlDDVocIS6h2xJvnGCUy8FKoLp5wKT4nZMQaxs0atbWlzWKL1blcH13JF4Ko3NSBl8jkflaKm86pN7zD-POR0y52qu3eZq4hPKfco0K3-OfCdRkJCtC8bw7f9bEtUJvML0tJyJAYAzi1SxflpZix6MSE2Rbpeq1286kT-t4IhjdVOLoYNHJtnsJPWN7Keu6PMhWOjgqZr4WnOUQ66-bY6tKQPNW92FaJ-hRQoIn1oCAjAhFWjMqpXf7AC6_HSicin_Q5g0ig%2C%2C&sku=101950148608&do-waremd5=2f5wtmh1vAbaA-DUJghMew&cpa=1&nid=18033952
ЯндексМаркет	Шланг напорно-всасывающий ПВХ Forplast 2" 30м	Green Grill (ИП «Макаренко Ярослав Николаевич»)	Forplast	зеленый	дренажный	IRRIGATION	30	50	8050	268	https://market.yandex.ru/product--shlang-naporno-vsasyvaiushchii-pvkh-forplast-2-30m/1816447227?cpc=FMN1DR1Bua042ZqXjIYJLTYJUSG7y7hX5rHE_ixYw1Dln2oCm6dqUNxlQGH992pY6THDF5ZadL-qFSS_sTKzbtiDwT5AfZxPDfsyywRPqFZvns-RoDPuRRgP6c5xqwGuvs-otguTznsrVppUPg_OOHNoCEau12VJ03UgJMxnpi4jH2_rJUfcUR1f_0IQLbbLV_coM2ob1dYNPxGkuXnErsOukfaPd9Bdnolcrlj-FpRejWNHmc603lXuZrmkg74x6skYI6haNbyTqpKh_OHgsQ%2C%2C&sku=101940092293&do-waremd5=Em7WWoCOpBUvooa89o4gdA&cpa=1&nid=18033952
ЯндексМаркет	Шланг спирально-витой (800L) 50мм 30м	Шопсантехник (ИП «Папян Алик Сережаевич»)	МПТ-Пластик	белый	дренажный	IRRIGATION	30	50	14130	471	https://market.yandex.ru/product--shlang-spiralno-vitoi-800l-50mm-30m/1751606035?cpc=FMN1DR1Bua19Ine8V8g-YlStFyJi-yp0MVb84y2W4DwrE6AlYUp19mY5jC7XVEFUnpFQ8zB9eiHD_4-JHvg_VlNUW1Gi-hJ8kNzXJw-dGPtfRMf5nwcsikDqWG1YwPYCDexg3ZKTqMZpHvdZEtYO-1lY_84hXIf-KhoDQoHx-4XsFb1DLMBeTI55zOSkqYwm4uHJ4dzqQcnBfd-SJDbNHnIiLUYAg0I6lsecE5B1X2fQtm1IFbcxVMKeuden1J2YnQ8wJs6x0IszbnPoTXb4NQ%2C%2C&sku=101735517695&do-waremd5=_4WzoP0ka6sII_D7uWHJDw&sponsored=1&cpa=1&nid=18033952
ЯндексМаркет	Шланг ассенизаторский 10 метров (напорно-всасывающий) 50 мм Holzer Elastic	ООО ПК "Хольцер Флексо"	Holzer Flexo	зеленый	ассенизаторский	CLEAN NORD	10	50	6280	628	https://market.yandex.ru/product--shlang-assenizatorskii-10-metrov-naporno-vsasyvaiushchii-50-mm-holzer-elastic/1835542530?cpc=FMN1DR1Bua0dIPTD02affoCWusMHJqTG9wtPs9Vz3LC7ZQoe9NFzgb3kPxOTlryU0V225LJnf72Fm9KsUDQ9zDJRz55l_TAxuvcikDpTN7fp7hONJHR0PLbwhhqxtrC0cjWoPYXtZWzVib9UxgVyL0raqB6WS8xni7MYYFkRP_mtG7HAUkjAKCOTfsXAKgHAbTOM8H0eQvqOLc-01gjas_n8LcNCCFWM8rhikins82CpUEfH2jvo7OMglcsBTKV_HtE0vsMmSBHoJBq2DgCijw%2C%2C&sku=101994496475&do-waremd5=-DnIGeTQz5m6_7d3SX9zdg&sponsored=1&cpa=1&nid=18033952
ЯндексМаркет	Шланг 10м (рукав напорно-всасывающий) для дренажного насоса диаметр 50 мм 2' морозостокий	ООО ПК "Хольцер Флексо"	Holzer Flexo	зеленый	дренажный	IRRIGATION	10	50	6270	627	https://market.yandex.ru/product--shlang-10m-rukav-naporno-vsasyvaiushchii-dlia-drenazhnogo-nasosa-diametr-50-mm-2-morozostokii/1835544502?cpc=FMN1DR1Bua1wilO_mFCzN1CggfHNZAb7YKgs_zBrdy8UadT3f4rSA_HNgEqlbTmeo-irDLkqK50qHi2C2IbMvU6gKmh8sZx-CZ2FI5iAHVVRVF41YHAjrkO_MASBcTKUALpypbsYTgDG9k7DDDK290OoqQ9JWhWakCNYNbL1IgyC6DwMTbY130BCYyhWDoRp28J3-XKuK-dj1zT1Kcm0omI5DWH6EX2o_Cd6Q44cAJVh8kJTjibwDUKm9G3J9_IIdTrYoUbXkeEamfu0-QGhKg%2C%2C&sku=101644629196&do-waremd5=4d6tdxiQZV1nhCZcSzDf4A&sponsored=1&cpa=1&nid=18033952
ЯндексМаркет	Шланг для дренажного насоса армированный ПВХ d 75 мм (30 метр ) напорно-всасывающий	СупермаркетУплотнений (ООО «ЦГС»)	МПТ-Пластик	белый	дренажный	IRRIGATION	30	75	18389	613	https://market.yandex.ru/product--shlang-dlia-drenazhnogo-nasosa-armirovannyi-pvkh-d-75-mm-30-metr-naporno-vsasyvaiushchii/1858680418?cpc=3Xiw91egKI4gJO0dbm4EMFXMh2eVmH37YU3Vi-TqKX0DVnN9IGlWHpjqCHG13puUsiAd_LFyLZ-HiYqOaoDEpxjqU9DJTASzgsDcQkH-1rM0hTh-dRgf5Q2newn2xqQQWj6umjnPWeHD_P7TTakjyrbdi3QBQj_xZGBaOD__RwxfI09H2t9-iAP70-ep4XTmTgsSU5KXt3IsqwOS4f89330f8OfRRi-5U2NBQaM3wpqjKibDjW2wroIPe-_20CBbzRkVMYZySbNXu-4EQ1SgaQ%2C%2C&sku=101950148617&do-waremd5=d-mp-oSwBZz-FQ_yR8nj1Q&cpa=1&nid=18033952
ЯндексМаркет	Шланг напорно-всасывающий ПВХ ТИП-4 "(75 мм.) спиральный морозостойкий (10 метров)	ТД-Инструмент (ООО «ТД "ТехСтройМаркет"»)	Завод ПолимерШланг	желтый	дренажный	IRRIGATION	10	75	6958	696	https://market.yandex.ru/product--shlang-naporno-vsasyvaiushchii-pvkh-tip-4-75-mm-spiralnyi-morozostoikii-10-metrov/1776262312?cpc=3Xiw91egKI7JGZdjV80M6tRHUVLrMtCi7UTHblH9Ks8C0cgjtjS3hxguGLp9NoGr24PoZZJKGHsAgsYO_UbcTXs_hLBm1U0QXMP83pLqYSBi34LutoSBHkStNL8a6afMl9SVFRDk_utF0zhrf4CmDiTcyu4TEkIWo5piV82KbuFHWYWHKpoIcidNn8cY2zOyUuaHjmHV61w%2C&sku=101847053955&do-waremd5=03Qn81Ve5SmH1VP4Nwmx7w&cpa=1&nid=18033952
ЯндексМаркет	Шланг для дренажного насоса армированный ПВХ d100 мм ( 4 метр ) напорно-всасывающий	СупермаркетУплотнений (ООО «ЦГС»)	МПТ-Пластик	белый	дренажный	IRRIGATION	4	100	3707	927	https://market.yandex.ru/product--shlang-dlia-drenazhnogo-nasosa-armirovannyi-pvkh-d100-mm-4-metr-naporno-vsasyvaiushchii/1858680420?cpc=5ymvmfBtNJRbt51xFIa2arBZ8hBxK6c_hCoMqKUiTYa0CiDLqqR-UrK5HBjpw3tKpA0ldACcqqsdv7XNH6vDKtrrJwhvTZIJcZ945Fl9Ht4q3o6bAUiLapm_MAe66kzg2D0SoQUc_PNhV_O1gpV7ISfn6RTZ75e0mdLwdyY3XHJ12yVGxVjy4a-jdHrAo65y0S6dDNzqoEJEAX5imqV1sXLC_IN-d1pZhbQ-Gn7eW9vzJ3ZVL9iAu-7LnyzAQ0WgNbFZOvpMGwQ1ZDNEmkDgLQ%2C%2C&sku=101950148547&do-waremd5=PMsq40TbYpAgoQ7ZzDuOFg&sponsored=1&cpa=1&nid=18033952
ЯндексМаркет	Шланг напорно-всасывающий 100 мм х 8 м FHT FUBAG 838704	Кум-Тигей инструмент (ООО «ИНСЕРВИС»)	Fubag	серый	дренажный	IRRIGATION	8	100	12330	1541	https://market.yandex.ru/product--shlang-naporno-vsasyvaiushchii-100-mm-kh-8-m-fht-fubag-838704/101965126879?cpc=5ymvmfBtNJQEcDxhB2I9Vqe4Qp-ksGdujtPTh1iCTUIQ4AFP-z9M8XZYJmKF4aqjCOSqzTAU5-PgWCoEGefDhhbI9QIrQsnGWqfw0a5o2nH4_X-ZCct_gTGebZdEQNhrfPhBcCRWQo1Q1zUcKL36cIBcEE-Z_hWbrZVQxJ6KrB6GBVMyDSKmn21oieRTiZmJYKVrd3vJa0o%2C&sku=101965126879&do-waremd5=l7nlVLtfH_K7Ah3ICxcG8w&cpa=1&nid=18033952
МПТ-Пластик	Шланг ПВХ серия 200SC 50 мм армированный спиралью ПВХ	МПТ-Пластик	МПТ-Пластик	зеленый	дренажный	IRRIGATION	1	50	707	707	https://www.mptplastic.ru/products/naporno_vsasyvayushchie_shlangi_pvh/seriya_200sc/200sc50/
МПТ-Пластик	Шланг ПВХ серия 200SC 75 мм армированный спиралью ПВХ	МПТ-Пластик	МПТ-Пластик	зеленый	дренажный	IRRIGATION	1	75	1238	1238	https://www.mptplastic.ru/products/naporno_vsasyvayushchie_shlangi_pvh/seriya_200sc/200sc75/
МПТ-Пластик	Шланг ПВХ серия 200SC 100 мм армированный спиралью ПВХ	МПТ-Пластик	МПТ-Пластик	зеленый	дренажный	IRRIGATION	1	100	1945	1945	https://www.mptplastic.ru/products/naporno_vsasyvayushchie_shlangi_pvh/seriya_200sc/200sc100/
Ринком	Шланг ассенизаторский  ПВХ Агро Эластик д. 76 мм	Ринком	ДЛ-Пласт	красный	ассенизаторский	CLEAN NORD	1	75	879	879	https://rinmarket.ru/catalog/shlangi/assenizatorskie/29047/
Ринком	Шланг ассенизаторский ПВХ Агро Эластик д. 102 мм	Ринком	ДЛ-Пласт	красный	ассенизаторский	CLEAN NORD	1	100	1 328	1328	https://rinmarket.ru/catalog/shlangi/assenizatorskie/29289/
Ринком	Шланг ассенизаторский ПВХ Агро Эластик М д. 102 мм	Ринком	ДЛ-Пласт	красный	ассенизаторский	CLEAN NORD	1	100	1 500	1500	https://rinmarket.ru/catalog/shlangi/assenizatorskie/35111/
Ринком	Рукав ассенизаторский напорно-всасывающий д. 102 мм 010 SSZ Морозостойкий	Ринком	Plexistab Болгария	зеленый	ассенизаторский	CLEAN NORD	1	100	2 136	2136	https://rinmarket.ru/catalog/shlangi/assenizatorskie/29569/?utm_referrer=https%3A%2F%2Fyandex.ru%2Fproducts%2Fsearch%3Ftext%3D%25D0%25B0%25D1%2581%25D1%2581%25D0%25B5%25D0%25BD%25D0%25B8%25D0%25B7%25D0%25B0%25D1%2582%25D0%25BE%25D1%2580%25D1%2581%25D0%25BA%25D0%25B8%25D0%25B9%2520%25D1%2580%25D1%2583%25D0%25BA%25D0%25B0%25D0%25B2%2520%25D0%25BA%25D1%2583%25D0%25BF%25D0%25B8%25D1%2582%25D1%258C
ВсеИнструменты.Ру	"Напорно-всасывающий шланг 50 мм, 30 м WWQ HB-50/30B"	ООО «ВсеИнструменты.ру»	WWQ	серый	дренажный	IRRIGATION	30	50	13 400	447	https://www.vseinstrumenti.ru/product/naporno-vsasyvayuschij-shlang-50-mm-30-m-wwq-hb-50-30b-954704/
ВсеИнструменты.Ру	"Напорно-всасывающий морозостойкий шланг ПВХ, 7 атм НОВЭМ Снегирь 50мм 30м"	ООО «ВсеИнструменты.ру»	НОВЭМ	красный	дренажный	IRRIGATION	30	50	9 752	325	https://www.vseinstrumenti.ru/product/naporno-vsasyvayuschij-morozostojkij-shlang-pvh-7-atm-novem-snegir-50mm-30m-2202618/
ВсеИнструменты.Ру	Шланг ассенизаторский НОВЭМ 75мм 10м	ООО «ВсеИнструменты.ру»	НОВЭМ	красный	ассенизаторский	CLEAN NORD	10	75	9 883	988	https://www.vseinstrumenti.ru/product/shlang-assenizatorskij-novem-75mm-10m-2206998/
ВсеИнструменты.Ру	Напорно-всасывающий морозостойкий шланг ПВХ 7 атм НОВЭМ Снегирь 75мм 30м	ООО «ВсеИнструменты.ру»	НОВЭМ	красный	дренажный	IRRIGATION	30	75	23 407	780	https://www.vseinstrumenti.ru/product/naporno-vsasyvayuschij-morozostojkij-shlang-pvh-7-atm-novem-snegir-75mm-30m-2202612/
ВсеИнструменты.Ру	Шланг ассенизаторский НОВЭМ 102мм 30м	ООО «ВсеИнструменты.ру»	НОВЭМ	красный	ассенизаторский	CLEAN NORD	30	100	46 813	1560	https://www.vseinstrumenti.ru/product/shlang-assenizatorskij-novem-102mm-30m-2207000/
ВсеИнструменты.Ру	Шланг напорно-всасывающий (10 м; 50 мм) TEX 50/10L	ООО «ВсеИнструменты.ру»	TEX	серый	дренажный	IRRIGATION	10	50	4 300	430	https://www.vseinstrumenti.ru/product/shlang-naporno-vsasyvayuschij-10-m-50-mm-tex-50-10l-1848410/
ВсеИнструменты.Ру	"Напорно-всасывающий морозостойкий шланг 50 мм, 30 м WWQ HB-50/30M"	ООО «ВсеИнструменты.ру»	TEX	серый	ассенизаторский	CLEAN NORD	30	50	24 300	810	https://www.vseinstrumenti.ru/product/naporno-vsasyvayuschij-morozostojkij-shlang-50-mm-30-m-wwq-hb-50-30m-1092503/
ВсеИнструменты.Ру	Напорно-всасывающий ассенизаторный шланг (15 м; 50 мм) TEX 50/15A	ООО «ВсеИнструменты.ру»	TEX	голубой	ассенизаторский	CLEAN NORD	15	50	14 520	968	https://www.vseinstrumenti.ru/product/naporno-vsasyvayuschij-assenizatornyj-shlang-15-m-50-mm-tex-50-15a-1968004/
ВсеИнструменты.Ру	Шланг напорно-всасывающий ассенизаторный (30 м; 50 мм) TEX 50/30A	ООО «ВсеИнструменты.ру»	TEX	голубой	ассенизаторский	CLEAN NORD	30	50	29 040	968	https://www.vseinstrumenti.ru/product/shlang-naporno-vsasyvayuschij-assenizatornyj-30-m-50-mm-tex-50-30a-1848568/
ВсеИнструменты.Ру	Шланг напорно-всасывающий (15 м; 100 мм) TEX 100/15L	ООО «ВсеИнструменты.ру»	TEX	серый	дренажный	IRRIGATION	15	100	17 610	1174	https://www.vseinstrumenti.ru/product/shlang-naporno-vsasyvayuschij-15-m-100-mm-tex-100-15l-2069585/
ВсеИнструменты.Ру	"Ассенизаторский шланг НОВЭМ ударопрочный, морозостойкий ПВХ 75мм 30м"	ООО «ВсеИнструменты.ру»	НОВЭМ	черный	ассенизаторский	CLEAN NORD	30	75	39 213	1307	https://www.vseinstrumenti.ru/product/assenizatorskij-shlang-novem-udaroprochnyj-morozostojkij-pvh-75mm-30m-5041158/
ВсеИнструменты.Ру	"Ассенизаторский шланг НОВЭМ ударопрочный, морозостойкий ПВХ 102мм 12м"	ООО «ВсеИнструменты.ру»	НОВЭМ	черный	ассенизаторский	CLEAN NORD	12	100	23 931	1994	https://www.vseinstrumenti.ru/product/assenizatorskij-shlang-novem-udaroprochnyj-morozostojkij-pvh-102mm-12m-5041182/
ВсеИнструменты.Ру	"Ассенизаторский шланг НОВЭМ ударопрочный, морозостойкий ПВХ 102мм 30м"	ООО «ВсеИнструменты.ру»	НОВЭМ	черный	ассенизаторский	CLEAN NORD	30	100	59 828	1994	https://www.vseinstrumenti.ru/product/assenizatorskij-shlang-novem-udaroprochnyj-morozostojkij-pvh-102mm-30m-5041206/
ООО ПК "Хольцер Флексо"	"Шланг для ассенизаторской машины д. 50x60 мм Holzer Elastic, морозостойкий, рулон 20 пм"	ООО ПК "Хольцер Флексо"	Holzer Flexo	зеленый	ассенизаторский	CLEAN NORD	20	50	10800	540	https://holzerflexo.com/katalog/rukava-i-shlangi/vakuumnye-naporno-vsasyvauschie/dlya-assenizatorskih-mashin-seriya--elastic/shlang_dlya_assenizatorskoy_mashiny_d_50_mm_holzer_elastic_morozostoykiy_rulon_20_pm/
ООО ПК "Хольцер Флексо"	"Шланг для ассенизаторской машины д. 76x88 мм Holzer Elastic GLS, морозостойкий, рулон 20 пм"	ООО ПК "Хольцер Флексо"	Holzer Flexo	зеленый	ассенизаторский	CLEAN NORD	20	75	16200	810	https://holzerflexo.com/katalog/rukava-i-shlangi/vakuumnye-naporno-vsasyvauschie/dlya-assenizatorskih-mashin-seriya--elastic/shlang-dlya-assenizatorskoy-mashiny-d-76x88-mm-holzer-elastic-gls-morozostoykiy-rulon-20-pm/
ООО ПК "Хольцер Флексо"	"Шланг для ассенизаторской машины д.102x114 мм Holzer Elastic, морозостойкий, рулон 20 пм"	ООО ПК "Хольцер Флексо"	Holzer Flexo	зеленый	ассенизаторский	CLEAN NORD	20	100	24300	1215	https://holzerflexo.com/katalog/rukava-i-shlangi/vakuumnye-naporno-vsasyvauschie/dlya-assenizatorskih-mashin-seriya--elastic/shlang_dlya_assenizatorskoy_mashiny_d_102_mm_holzer_elastic_morozostoykiy_rulon_20_pm/
ООО ПК "Хольцер Флексо"	"Шланг для ассенизаторской машины д.102x114.4 мм ""Сибиряк"", морозостойкий, темно-зеленый"	ООО ПК "Хольцер Флексо"	Holzer Flexo	зеленый	ассенизаторский	CLEAN NORD	20	100	28000	1400	https://holzerflexo.com/katalog/rukava-i-shlangi/vakuumnye-naporno-vsasyvauschie/dlya-assenizatorskih-mashin-seriya--elastic/shlang-dlya-assenizatorskoy-mashiny-d-102x114-4-mm-rusich-morozostoykiy-temno-zelenyy/
TITAN LOCK	"Морозостойкий гофрированный ПВХ рукав для ассенизаторских машин ""BALTIC-C"", -40C, внутр.диам. 50 мм. TL050BC-C TITAN LOCK"	ООО "ТЕХНОБЕРИНГ"	TITAN LOCK	красный	ассенизаторский	CLEAN NORD	1	50	526	526	https://titan-lock.shop/product/morozostoykiy_gofrirovannyy_pvkh_rukav_dlya_assenizatorskikh_mashin_baltic_c_40c_vnutr_diam_50_mm_tl/
TITAN LOCK	"Морозостойкий гофрированный ПВХ рукав для ассенизаторских машин ""BALTIC-C"", -40C, внутр.диам. 75 мм. TL075BC-C TITAN LOCK"	ООО "ТЕХНОБЕРИНГ"	TITAN LOCK	красный	ассенизаторский	CLEAN NORD	1	75	790	790	https://titan-lock.shop/product/morozostoykiy_gofrirovannyy_pvkh_rukav_dlya_assenizatorskikh_mashin_baltic_c_40c_vnutr_diam_75_mm_tl/
TITAN LOCK	"Морозостойкий гофрированный ПВХ рукав для ассенизаторских машин ""BALTIC-C"", -40C, внутр.диам. 100 мм. TL100BC-C TITAN LOCK"	ООО "ТЕХНОБЕРИНГ"	TITAN LOCK	красный	ассенизаторский	CLEAN NORD	1	100	1239	1239	https://titan-lock.shop/product/morozostoykiy_gofrirovannyy_pvkh_rukav_dlya_assenizatorskikh_mashin_baltic_c_40c_vnutr_diam_100_mm_t/
Кирелис	Шланг ассенизаторский морозостойкий ПВХ 50 мм (30 м) серый 100SM (м)	ООО "Кирелис"	МПТ-Пластик	серый	ассенизаторский	CLEAN NORD	1	50	573	573	https://www.kirelis.ru/catalog/shlangi/dlya-assenizatorskih-mashin/id_41346/
Кирелис	Шланг ассенизаторский морозостойкий ПВХ 76 мм (30 м) серый 100SM (м)	ООО "Кирелис"	МПТ-Пластик	серый	ассенизаторский	CLEAN NORD	1	75	909	909	https://www.kirelis.ru/catalog/shlangi/dlya-assenizatorskih-mashin/id_40889/
Кирелис	Шланг ассенизаторский морозостойкий ПВХ 102 мм (10 м) серый 100SM (м)	ООО "Кирелис"	МПТ-Пластик	серый	ассенизаторский	CLEAN NORD	1	100	1 466	1466	https://www.kirelis.ru/catalog/shlangi/dlya-assenizatorskih-mashin/id_41335/
